admissions_cycle,nationality,no,reviewed,sat_tmua,avg_tmua,medium_tmua
2425,Australia,11,5,11,6.57,5.9
2425,Canada,12,7,12,5.71,5.4
2425,China,226,82,226,6.4,6.2
2425,Germany,9,1,9,5.0,4.8
2425,Hong Kong,77,27,77,6.05,5.9
2425,India,129,50,129,5.62,5.4
2425,Indonesia,8,4,8,5.91,5.05
2425,Italy,8,3,8,5.71,5.8
2425,Japan,15,4,15,6.33,6.2
2425,Korea (South),27,13,27,6.54,6.1
2425,Malaysia,32,15,32,5.27,5.0
2425,Nigeria,8,3,8,5.11,5.1
2425,Poland,15,3,15,5.82,5.2
2425,Romania,16,4,16,5.13,4.85
2425,Russia,6,2,6,6.45,6.2
2425,Singapore,44,15,44,6.2,6.05
2425,Spain,9,3,9,5.3,5.2
2425,Thailand,13,7,13,6.27,5.9
2425,Turkey,38,4,38,5.24,5.0
2425,Ukraine,9,3,9,5.34,5.5
2425,United Kingdom,616,178,613,5.36,5.2
2425,United States of America,38,17,38,6.2,5.9
2425,Vietnam,5,1,5,5.7,5.7
